Brugge Herdersbrug Wind Farm Belgium,Belgium,Operating Fully,51.2622,3.21315,3,"Boudewijnkanaal, N of Brugge, West Flanders, Belgium",Semi-Preserved,5,,,National Grid,Electrabel GDF Suez,,,Developed by Electrawinds (BOT),Electrabel,,,http://www.elia.be/upload/ProductionParkOverview.html
Brugge III Wind Farm Belgium,Belgium,Operating Fully,51.2578,3.2047,12.6,"Industrial Park Blauwe Toren, N of Brugge, West Flanders, Belgium",Please Select,7,27.3,,National Grid,Electrawinds,,Private,Electrawinds,Electrawinds,,,http://www.electrawinds.be/electrawinds_powered_by_nature-projecten.asp?taal=en&artikelID=4804&rubriekID=2055
Brugge Pathoekweg (Aspiravi) Wind Farm Belgium,Belgium,Operating Fully,51.24877,3.2166,5.4,"Baudouin Canal, N of Brugge, West Flanders, Belgium",Semi-Preserved,9,,,National Grid,Aspiravi SA (7/9 Turbines),,Private,Electrawinds (BOT),Aspiravi SA,,,http://www.aspiravi.be/en/wind_real.aspx
Butgenbach Wind Farm Belgium,Belgium,Operating Fully,50.4472,6.2418,8,"Butgenbach, Liege, Belgium",Farmland,4,,,National Grid,Electrabel GDF Suez,,Private,,Electrabel,,,http://www.electrabel.be/whoarewe/activities/generationfacilities.aspx
Celanese Lanaken Wind Farm Belgium,Belgium,Operating Fully,50.88,5.655373,8,"SE of Lanaken, Limburg, Belgium",Farmland,4,,,National Grid,Electrabel GDF Suez,,Private,,Electrabel,,,Electrabel
Dinant-Yvoir Wind Farm Belgium,Belgium,Operating Fully,50.3122,4.9791,12,"Chaussee de Dinant B-5530 Dorinne (Yvoir), Namur, Belgium",Farmland,6,30,,National Grid,SPE-Luminus,100,Private,,SPE-Luminus,,,http://www.spe.be/index.php?page=production&subpage=how&section=company&subsubpage=wind
Dour Quievrain (Electrabel) Wind Farm Belgium,Belgium,Operating Fully,50.4103,3.7227,10,"Dour Quievrain, Hainaut, Belgium",Farmland,9,,,National Grid,Electrabel GDF Suez,,Private,,Electrabel,,,http://www.elia.be/upload/ProductionParkOverview.html
Estinnes Wind Farm Belgium,Belgium,Operating Fully,50.4116,4.0804,66,"Estinnes-au-Mont, Hainaut, Belgium",Farmland,11,187,,Please Select,Windvision,,Private,Windvision,Windvision,,,http://www.windvision.be/le-parc-destinnes/general/
Froidchapelle Wind Farm Belgium,Belgium,Operating Fully,50.2233,4.32,25,"Beaumont-Froidchapelle, Hainaut, Belgium",Farmland,10,,,National Grid,Electrabel GDF Suez,,,Greenwind,Electrabel,,,http://www.elia.be/upload/ProductionParkOverview.html
Gembloux Sombreffe Wind Farm Belgium,Belgium,Operating Fully,50.5462,4.6331,9,"Gembloux Sombreffe, Namur, Belgium",Farmland,6,,,National Grid,Electrabel GDF Suez,,Private,,Electrabel,,,http://www.electrabel.be/whoarewe/activities/generationfacilities.aspx
