Word,Audio,Category
brain,https://upload.wikimedia.org/wikipedia/commons/f/f6/En-us-brain.ogg,noun
brakes,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c9/En-us-brakes.ogg/En-us-brakes.ogg.mp3,noun
branch,https://upload.wikimedia.org/wikipedia/commons/d/db/En-us-branch.ogg,noun
branches,https://upload.wikimedia.org/wikipedia/commons/7/7b/En-us-branches.ogg,noun
brash,,
brass,https://upload.wikimedia.org/wikipedia/commons/a/aa/En-us-brass.ogg,noun
brat,,
brats,,
Braves,,
brays,https://upload.wikimedia.org/wikipedia/commons/f/fa/En-us-brays.ogg,noun
break,https://upload.wikimedia.org/wikipedia/commons/e/e6/En-us-break.ogg,verb
breathless,,
breaths,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/49/En-us-breaths.ogg/En-us-breaths.ogg.mp3,noun
bred,,
breeches,https://upload.wikimedia.org/wikipedia/commons/1/17/En-us-breeches.ogg,noun
brewing,,
Brian,,
brick,https://upload.wikimedia.org/wikipedia/commons/9/9b/En-us-brick.ogg,noun
bricks,https://upload.wikimedia.org/wikipedia/commons/4/45/En-us-bricks.ogg,noun
bride s,,
bridge,https://upload.wikimedia.org/wikipedia/commons/8/8f/En-us-bridge.ogg,noun
brief,https://upload.wikimedia.org/wikipedia/commons/2/21/En-us-brief.ogg,adjective
brig,https://upload.wikimedia.org/wikipedia/commons/3/30/En-us-brig.ogg,noun
brighten,,
brighter,https://upload.wikimedia.org/wikipedia/commons/f/f0/En-us-brighter.ogg,adjective
brisk,,
bristle,,
britches,,
British,,
broiler,,
brom,,
Brook s,,
brow,https://upload.wikimedia.org/wikipedia/commons/e/e6/En-us-brow.ogg,noun
brown,https://upload.wikimedia.org/wikipedia/commons/2/29/En-us-brown.ogg,noun
brush,https://upload.wikimedia.org/wikipedia/commons/3/3f/En-us-brush.ogg,noun
brute,https://upload.wikimedia.org/wikipedia/commons/transcoded/0/0e/En-us-brute.ogg/En-us-brute.ogg.mp3,adjective
Bryce,,
bub,,
buck,,
buds,,
buggy,,
bugle,,
building,https://upload.wikimedia.org/wikipedia/commons/a/a3/En-us-building.ogg,noun
