URL,Category
https://upload.wikimedia.org/wikipedia/commons/8/82/En-us-authorize.ogg,verb
,
,
https://upload.wikimedia.org/wikipedia/commons/d/d7/En-us-automatic.ogg,adjective
,
https://upload.wikimedia.org/wikipedia/commons/a/a3/En-uk-autumn.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/6/67/En-us-available.ogg,adjective
,
,
https://upload.wikimedia.org/wikipedia/commons/7/74/En-us-awake.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/a/a8/En-us-award.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/9/93/En-us-away.ogg,adverb
,
https://upload.wikimedia.org/wikipedia/commons/3/3a/En-us-awoke.ogg,verb
,
https://upload.wikimedia.org/wikipedia/commons/6/67/En-us-babe.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/d/de/En-us-baby.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/e/ec/En-us-back.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/4/4e/En-us-background.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/0/02/En-uk-bad.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/d/d2/En-us-badminton.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/e/e1/En-us-bag.ogg,noun
,
,
https://upload.wikimedia.org/wikipedia/commons/f/f6/En-us-bale.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/9/9e/En-us-bait.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/e/e5/En-us-bake.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/4/4e/En-us-bakery.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/8/82/En-us-bald.ogg,adjective
,
https://upload.wikimedia.org/wikipedia/commons/transcoded/f/f6/En-us-bale.ogg/En-us-bale.ogg.mp3,noun
https://upload.wikimedia.org/wikipedia/commons/a/a8/En-us-ball.ogg,noun
,
,
https://upload.wikimedia.org/wikipedia/commons/6/61/En-us-banana.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/b/bd/En-ca-band.opus,noun
,
https://upload.wikimedia.org/wikipedia/commons/3/34/En-us-bang.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/4/4d/En-us-bank.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/b/bc/En-us-barber.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/9/9e/En-us-bark.ogg,verb
,
,
https://upload.wikimedia.org/wikipedia/commons/4/40/En-us-ne-Barrel.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/b/b2/En-us-barrels.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/9/97/En-us-barren.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/8/8b/En-us-barricade.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/0/08/En-us-base.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/3/34/En-us-baseball.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/4/40/En-us-basement.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/8/8f/En-us-bask.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/c/c1/En-us-basket.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/f/f7/En-us-basketball.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/e/e7/En-us-bass-low.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/b/bb/En-us-bat.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/1/15/En-us-batch.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/f/f9/En-us-bath.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/b/bb/En-us-bathe.ogg,verb
,
https://upload.wikimedia.org/wikipedia/commons/1/12/En-us-bathroom.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/6/65/En-us-batter.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/d/d5/En-us-battle.ogg,adjective
,
https://upload.wikimedia.org/wikipedia/commons/8/8e/En-us-bay.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/f/fa/En-uk-to_be.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/d/dc/En-us-beach.ogg,noun
